,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,FamilySize,IsAlone
0,1,0,3,Braund  Mr. Owen Harris,male,22.0,1,0,A/5 21171,7.25,S,1,1
1,2,1,1,Cumings  Mrs. John Bradley (Florence Briggs Thayer),female,38.0,1,0,PC 17599,71.283302,C,1,1
2,3,1,3,Heikkinen  Miss. Laina,female,26.0,0,0,STON/O2. 3101282,7.9250002,S,0,0
3,4,1,1,Futrelle  Mrs. Jacques Heath (Lily May Peel),female,35.0,1,0,113803,53.099998,S,1,1
4,5,0,3,Allen  Mr. William Henry,male,35.0,0,0,373450,8.0500002,S,0,0
5,6,0,3,Moran  Mr. James,male,23.752999999999997,0,0,330877,8.4582996,Q,0,0
6,7,0,1,McCarthy  Mr. Timothy J,male,54.0,0,0,17463,51.862499,S,0,0
7,8,0,3,Palsson  Master. Gosta Leonard,male,2.0,3,1,349909,21.075001,S,4,0
8,9,1,3,Johnson  Mrs. Oscar W (Elisabeth Vilhelmina Berg),female,27.0,0,2,347742,11.1333,S,2,0
9,10,1,2,Nasser  Mrs. Nicholas (Adele Achem),female,14.0,1,0,237736,30.070801,C,1,1
10,11,1,3,Sandstrom  Miss. Marguerite Rut,female,4.0,1,1,PP 9549,16.700001,S,2,0
11,12,1,1,Bonnell  Miss. Elizabeth,female,58.0,0,0,113783,26.549999,S,0,0
12,13,0,3,Saundercock  Mr. William Henry,male,20.0,0,0,A/5. 2151,8.0500002,S,0,0
13,14,0,3,Andersson  Mr. Anders Johan,male,39.0,1,5,347082,31.275,S,6,0
14,15,0,3,Vestrom  Miss. Hulda Amanda Adolfina,female,14.0,0,0,350406,7.8541999,S,0,0
15,16,1,2,Hewlett  Mrs. (Mary D Kingcome) ,female,55.0,0,0,248706,16.0,S,0,0
16,17,0,3,Rice  Master. Eugene,male,2.0,4,1,382652,29.125,Q,5,0
17,18,1,2,Williams  Mr. Charles Eugene,male,31.979850054166132,0,0,244373,13.0,S,0,0
18,19,0,3,Vander Planke  Mrs. Julius (Emelia Maria Vandemoortele),female,31.0,1,0,345763,18.0,S,1,1
19,20,1,3,Masselmani  Mrs. Fatima,female,29.589628663003655,0,0,2649,7.2249999,C,0,0
20,21,0,2,Fynney  Mr. Joseph J,male,35.0,0,0,239865,26.0,S,0,0
21,22,1,2,Beesley  Mr. Lawrence,male,34.0,0,0,248698,13.0,S,0,0
22,23,1,3,"McGowan  Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0291996,Q,0,0
23,24,1,1,Sloper  Mr. William Thompson,male,28.0,0,0,113788,35.5,S,0,0
24,25,0,3,Palsson  Miss. Torborg Danira,female,8.0,3,1,349909,21.075001,S,4,0
